행정구역,2020년08월_거주자_총인구수,2020년08월_거주자_연령구간인구수,동사무소 주소,X,Y,,,,
대구광역시 중구 동인동(2711051700),"8,534",263,대구광역시 중구 국체보상로 142길 19-5,128.609157,35.8679316,,,,
대구광역시 중구 삼덕동(2711054500),"6,631",196,대구광역시 중구 달구벌대로 447길 72-11,128.6089583,35.8655468,,,,
대구광역시 중구 성내1동(2711056500),"4,977",141,대구광역시 중구 동성로 3길 87,128.5980362,35.8692709,,,,
대구광역시 중구 성내2동(2711057500),"4,426",115,대구광역시 중구 달구벌대로 415길 48,128.5904122,35.868383,,,,
대구광역시 중구 성내3동(2711058500),"5,113",141,대구광역시 중구 서성로 13길 32-10,128.5857207,35.8726304,,,,
대구광역시 중구 대신동(2711059500),"8,097",305,대구광역시 중구 달구벌대로 389길 50,128.5768868,35.8648043,,,,
대구광역시 중구 남산1동(2711064000),"5,007",192,대구광역시 중구 2.28길 18-15,128.6061666,35.8693527,,,,
대구광역시 중구 남산2동(2711065000),"4,123",165,대구광역시 중구 명륜로 27-1,128.5895742,35.864077,,,,
대구광역시 중구 남산3동(2711066000),"6,967",247,대구광역시 중구 남산로4길 70,128.585565,35.859901,,,,
대구광역시 중구 남산4동(2711067000),"11,897",573,대구광역시 중구 남산로1길 42,128.5805671,35.8582424,,,,
대구광역시 중구 대봉1동(2711068000),"7,562",354,대구광역시 중구 달구벌대로 440길 27,128.6043643,35.8616393,,,,
대구광역시 중구 대봉2동(2711069000),"2,408",103,대구광역시 중구 대봉로 47길 31,128.599461,35.8589239,,,,
대구광역시 동구 신암1동(2714051000),"7,668",267,대구광역시 동구 아양로 7길 27,128.6163506,35.8842862,,,,
대구광역시 동구 신암2동(2714052000),"10,693",359,대구광역시 동구 신성로 56,128.6127068,35.8799695,,,,
대구광역시 동구 신암3동(2714053000),"8,706",320,대구광역시 동구 신암남로 67,128.6231473,35.8795724,,,,
대구광역시 동구 신암4동(2714054000),"13,060",410,대구광역시 동구 신암남로 23길 53,128.6293294,35.8850364,,,,
대구광역시 동구 신암5동(2714054100),"6,531",257,대구광역시 동구 아양로 37길 92,128.6330629,35.8897559,,,,
대구광역시 동구 신천1.2동(2714055500),"13,337",511,대구광역시 동구 국채보상로 159길 41 우방푸른타운,128.615054,35.870575,,,,
대구광역시 동구 신천3동(2714057000),"12,451",521,대구광역시 동구 장등로 90,128.6237458,35.8753917,,,,
대구광역시 동구 신천4동(2714058000),"7,437",222,대구광역시 동구 동부로 30길 61-7,128.629306,35.8717286,,,,
대구광역시 동구 효목1동(2714059000),"14,013",545,대구광역시 동구 화랑로 41길 46,128.6449448,35.8816142,,,,
대구광역시 동구 효목2동(2714060000),"14,747",586,대구광역시 동구 화랑로 25길 45,128.6412466,35.8781522,,,,
대구광역시 동구 도평동(2714061500),"4,164",141,대구광역시 동구 팔공로 24길 171,128.6500078,35.9100034,,,,
대구광역시 동구 불로.봉무동(2714062000),"21,743","1,102",대구광역시 동구 팔공로 25길 16,128.6393123,35.9103078,,,,
대구광역시 동구 지저동(2714064000),"14,932",582,대구광역시 동구 해동로 3길 80,128.6385997,35.8947581,,,,
대구광역시 동구 동촌동(2714065500),"15,835",558,대구광역시 동구 동촌로 11길 5,128.6496203,35.8894286,,,,
대구광역시 동구 방촌동(2714067000),"18,363",784,대구광역시 동구 동촌로 48길 26,128.6652611,35.880027,,,,
대구광역시 동구 해안동(2714068500),"15,184",532,대구광역시 동구 방촌로 29길 46,128.6716797,35.8820761,,,,
대구광역시 동구 안심1동(2714072000),"43,695","1,838",대구광역시 동구 율하동로 25길 5,128.7015819,35.8703953,,,,
대구광역시 동구 안심2동(2714073000),"11,265",404,대구광역시 동구 반야월로 1길 28,128.687081,35.8754256,,,,
대구광역시 동구 안심3동(2714074200),"21,443","1,340",대구광여시 동구 안심로 368,128.7246182,35.8678684,,,,
대구광역시 동구 안심4동(2714074700),"29,515","1,588",대구광역시 동구 안심로 49길 98,128.7108358,35.8705213,,,,
대구광역시 동구 혁신동(2714075500),"18,845",497,대구광역시 동구 이노벨리로 26길 368,128.7041013,35.8832975,,,,
대구광역시 동구 공산동(2714076000),"16,819",686,대구광역시 동구 팔공로 91길 9,128.6441372,35.9400873,,,,
대구광역시 서구 내당1동(2717051000),"8,639",314,대구광역시 서구 통학로 35,128.5639861,35.8634445,,,,
대구광역시 서구 내당2.3동(2717052500),"10,227",345,대구광역시 서구 큰장로15길 11-1,128.574556,35.8672719,,,,
대구광역시 서구 내당4동(2717054000),"17,051",751,대구광역시 서구 서대구로 3길 46,128.5517595,35.8589532,,,,
대구광역시 서구 비산1동(2717055000),"9,747",376,대구광역시 서구 북비산로 65길 18,128.5690168,35.8811578,,,,
대구광역시 서구 비산2.3동(2717056500),"9,560",296,대구광역시 서구 국채보상로 81길 43,128.5747396,35.8758308,,,,
대구광역시 서구 비산4동(2717058000),"10,019",395,대구광역시 서구 국채보상로 78길 29-4,128.5743007,35.8698013,,,,
대구광역시 서구 비산5동(2717059000),"6,415",213,대구광역시 서구 달서천로 65길 17,128.5696631,35.8863572,,,,
