유형,상세분류,시군구코드,도로명코드,도로명주소,기관명,위치X,위치Y,전화번호
우체국,취급국,27260,3007004,대구광역시 수성구 동대구로 222,대구범어우방취급국,1101633.388000000035390,1762100.763000000035390,053-756-7304
우체국,취급국,27260,4238078,대구광역시 수성구 달구벌대로528길 15,수성대학교우편취급국,1103552.699000000022352,1762588.314999999944121,053-749-7491
우체국,취급국,27260,2007002,대구광역시 수성구 달구벌대로 2611,대구만촌2동우편취급국,1103670.398999999975786,1763020.418000000063330,053-754-8384
우체국,취급국,27260,4238221,대구광역시 수성구 무학로33길 1,대구삼남우편취급국,1101857.912999999942258,1759946.097000000067055,053-762-9355
우체국,취급국,27260,3146019,대구광역시 수성구 신매로 71,대구고산1동우편취급국,1108961.412999999942258,1760614.049000000115484,053-792-5700
우체국,취급국,27260,2007002,대구광역시 수성구 달구벌대로 2903,96군사우편출장소,1106607.462999999988824,1761654.833000000100583,053-791-3999
관세,세관,27290,3007031,대구광역시 달서구 화암로 301,대구세관,1091897.294999999925494,1756954.833000000100583,053-230-5114
우체국,취급국,27290,2007002,대구광역시 달서구 달구벌대로 1862,대구삼익신협우편취급국,1096478.557000000029802,1763219.195999999996275,053-653-7100
우체국,취급국,27290,2007002,대구광역시 달서구 달구벌대로 1095,성서계명대학교우편취급국,1088624.325999999884516,1762335.299000000115484,053-592-1350
우체국,취급국,27290,4241324,대구광역시 달서구 성서로72길 97-10,대구성서3동우편취급국,1091484.016999999992549,1761951.168999999994412,053-583-0700
우체국,취급국,27290,2007002,대구광역시 달서구 달구벌대로 1429-5,대구와룡우편취급국,1092420.378000000026077,1761966.720999999903142,053-559-1999
우체국,취급국,27290,3147037,대구광역시 달서구 장산남로 30,대구지법서부지원출장소,1092785.387000000104308,1762323.554999999934807,053-563-2005
우체국,취급국,27290,3147009,대구광역시 달서구 상인로 9,대구상인3동우편취급국,1094980.036000000080094,1757463.355999999912456,053-642-4276
학교,중학교,27110,2007002,대구광역시 중구 달구벌대로 2178,경북대학교사범대학부설중학교,1099367.458000000100583,1763446.023999999975786,053-232-8255
우체국,취급국,27290,3147016,대구광역시 달서구 성서4차첨단로 122-11,대구경북중소기업청출장소,1091632.584999999962747,1759274.036000000080094,053-659-2597
학교,중학교,27200,4232356,대구광역시 남구 현충로48길 33,경상중학교,1098005.411000000080094,1762330.838999999919906,053-234-6100
우체국,취급국,27290,3147041,대구광역시 달서구 중흥로 14,대구송현동우편취급국,1095311.402000000001863,1760056.652999999932945,053-621-3600
학교,중학교,27200,3144011,대구광역시 남구 효성로 37,경일여자중학교,1099059.199999999953434,1760544.172999999951571,053-234-9194
우체국,취급국,27710,3007019,대구광역시 달성군 다사읍 서재로 80,대구서재리우편취급국,1089994.120000000111759,1764228.058999999891967,053-585-6334
학교,중학교,27200,4232189,대구광역시 남구 성당로18길 20,경혜여자중학교,1096096.395999999949709,1761262.783999999985099,053-234-8420
학교,중학교,27290,4241097,대구광역시 달서구 당산로30길 20,경암중학교,1094690.739000000059605,1761825.919999999925494,053-234-9100
학교,중학교,27290,4241149,대구광역시 달서구 두류남길 10,구남중학교,1096847.747999999905005,1762927.000000000000000,053-234-8816
학교,중학교,27290,4241471,대구광역시 달서구 월곡로94길 46,대건중학교,1092856.875000000000000,1760203.885000000009313,053-234-8808
학교,중학교,27290,3147005,대구광역시 달서구 도원남로 5,대곡중학교,1093289.114999999990687,1757145.083000000100583,053-234-6805
학교,중학교,27200,3141012,대구광역시 남구 대봉로 120,대구중학교,1099661.816000000108033,1762067.227999999886379,053-234-6002
학교,중학교,27200,3007012,대구광역시 남구 앞산순환로 477,대명중학교,1097250.500999999931082,1760156.324000000022352,053-234-7386
학교,중학교,27290,3007013,대구광역시 달서구 월배로 303,대서중학교,1094263.273999999975786,1759071.682999999960884,053-234-6281
학교,중학교,27290,4241166,대구광역시 달서구 미리샘길 32,도원중학교,1094414.993999999947846,1757141.621999999973923,053-234-7070
학교,중학교,27290,3147026,대구광역시 달서구 야외음악당로 107,상서중학교,1094807.107000000076368,1761609.874000000068918,053-234-9000
학교,중학교,27290,3147009,대구광역시 달서구 상인로 117,상원중학교,1094327.496000000042841,1758319.054999999934807,053-234-7734
학교,중학교,27290,3147009,대구광역시 달서구 상인로 34,상인중학교,1094871.570000000065193,1757719.050999999977648,053-234-6900
학교,중학교,27290,3147004,대구광역시 달서구 대명천로 102,성당중학교,1094665.513999999966472,1760956.429999999934807,053-234-6450
학교,중학교,27290,3147014,대구광역시 달서구 선원남로 174,성산중학교,1091976.000000000000000,1762723.192000000039116,053-234-6950
학교,중학교,27290,3147028,대구광역시 달서구 용산서로 63,성서중학교,1092695.159999999916181,1762627.097999999998137,053-234-6158
학교,중학교,27290,3147020,대구광역시 달서구 성서동로 361,성지중학교,1091620.786000000080094,1762345.087999999988824,053-234-7308
학교,중학교,27290,3147024,대구광역시 달서구 송현로 156,송현여자중학교,1094495.250000000000000,1759907.624000000068918,053-234-9300
학교,중학교,27290,3147013,대구광역시 달서구 서당로 30,신당중학교,1089967.746999999973923,1762461.875000000000000,053-234-7861
학교,중학교,27200,4232351,대구광역시 남구 현충로39길 29,심인중학교,1097373.712999999988824,1761999.800999999977648,053-234-8540
학교,중학교,27290,3147029,대구광역시 달서구 월곡로 300,영남중학교,1093612.638999999966472,1758751.293999999994412,053-234-8700
