,유형,상세분류,시군구코드,도로명코드,도로명주소,기관명,위치X,위치Y,전화번호,가점척도
0,우체국,취급국,27260,3007004,대구광역시 수성구 동대구로 222,대구범어우방취급국,1101633.388,1762100.763,053-756-7304,0
1,우체국,취급국,27260,4238078,대구광역시 수성구 달구벌대로528길 15,수성대학교우편취급국,1103552.699,1762588.315,053-749-7491,0
2,우체국,취급국,27260,2007002,대구광역시 수성구 달구벌대로 2611,대구만촌2동우편취급국,1103670.399,1763020.418,053-754-8384,0
3,우체국,취급국,27260,4238221,대구광역시 수성구 무학로33길 1,대구삼남우편취급국,1101857.913,1759946.097,053-762-9355,0
4,우체국,취급국,27260,3146019,대구광역시 수성구 신매로 71,대구고산1동우편취급국,1108961.413,1760614.049,053-792-5700,0
5,우체국,취급국,27260,2007002,대구광역시 수성구 달구벌대로 2903,96군사우편출장소,1106607.463,1761654.833,053-791-3999,0
7,우체국,취급국,27290,2007002,대구광역시 달서구 달구벌대로 1862,대구삼익신협우편취급국,1096478.557,1763219.196,053-653-7100,0
8,우체국,취급국,27290,2007002,대구광역시 달서구 달구벌대로 1095,성서계명대학교우편취급국,1088624.326,1762335.299,053-592-1350,0
9,우체국,취급국,27290,4241324,대구광역시 달서구 성서로72길 97-10,대구성서3동우편취급국,1091484.017,1761951.169,053-583-0700,0
10,우체국,취급국,27290,2007002,대구광역시 달서구 달구벌대로 1429-5,대구와룡우편취급국,1092420.378,1761966.721,053-559-1999,0
11,우체국,취급국,27290,3147037,대구광역시 달서구 장산남로 30,대구지법서부지원출장소,1092785.387,1762323.555,053-563-2005,0
12,우체국,취급국,27290,3147009,대구광역시 달서구 상인로 9,대구상인3동우편취급국,1094980.036,1757463.356,053-642-4276,0
14,우체국,취급국,27290,3147016,대구광역시 달서구 성서4차첨단로 122-11,대구경북중소기업청출장소,1091632.585,1759274.036,053-659-2597,0
16,우체국,취급국,27290,3147041,대구광역시 달서구 중흥로 14,대구송현동우편취급국,1095311.402,1760056.653,053-621-3600,0
18,우체국,취급국,27710,3007019,대구광역시 달성군 다사읍 서재로 80,대구서재리우편취급국,1089994.12,1764228.059,053-585-6334,0
255,우체국,우정청,27140,3142010,대구광역시 동구 동촌로 1,경북지방우정청,1103270.175,1766797.649,053-940-1518,0
319,우체국,취급국,27110,3141005,대구광역시 중구 동덕로 130,대구동덕취급국,1099693.36,1763862.795,053-427-6789,0
321,우체국,취급국,27140,3142009,대구광역시 동구 동부로 76,대구신천3동우편취급국,1101167.125,1764850.465,053-752-5757,0
323,우체국,취급국,27140,3142028,대구광역시 동구 아양로 352,동대구우체국 제304군사우편출장소,1103389.221,1767101.325,053-985-0014,0
325,우체국,취급국,27140,3142042,대구광역시 동구 해동로 207,동대구우체국 동촌출장소,1103913.424,1766080.67,053-983-1100,0
327,우체국,취급국,27140,4226377,대구광역시 동구 화랑로80길 8,대구강촌우편취급국,1105288.81,1764995.301,053-985-2220,0
329,우체국,취급국,27140,4226276,대구광역시 동구 율하동로20길 30,대구모란우편취급국,1108821.744,1764126.417,053-963-0999,0
331,우체국,취급국,27140,4226302,대구광역시 동구 팔공로101길 63,대구팔공우편취급국,1102904.701,1772174.169,053-981-7176,0
333,우체국,취급국,27170,4229348,대구광역시 서구 평리로50길 28,대구내당4동우편취급국,1094863.166,1763137.543,053-566-1235,0
335,우체국,취급국,27170,3143007,대구광역시 서구 염색공단로 17,대구염색공단우편취급국,1095120.605,1766254.899,053-353-9005,0
337,우체국,취급국,27170,3143005,대구광역시 서구 북비산로 311,대구평리1동우편취급국,1096347.758,1765317.543,053-562-9717,0
339,우체국,취급국,27170,4229233,대구광역시 서구 서대구로42길 42,대구대평리우편취급국,1095636.702,1765008.821,053-559-4566,0
341,우체국,취급국,27170,3143004,대구광역시 서구 문화로 164,대구이현공단우편취급국,1094844.296,1764730.701,053-555-0507,0
343,우체국,취급국,27200,3141012,대구광역시 남구 대봉로 100,대구이천동우편취급국,1099713.243,1761816.475,053-473-3585,0
345,우체국,취급국,27200,3144007,대구광역시 남구 봉덕로 61,대구봉덕1동우편취급국,1099114.124,1761530.25,053-475-8585,0
347,우체국,취급국,27200,4232279,대구광역시 남구 자유1길 5,대구대명9동우편취급국,1097848.961,1761024.135,053-627-9288,0
349,우체국,취급국,27200,3144003,대구광역시 남구 대명로 38,대구성명우편취급국,1095900.291,1760731.94,053-626-0014,0
351,우체국,취급국,27230,3145043,대구광역시 북구 침산남로 163,대구침산2동우편취급국,1098699.568,1766257.929,053-314-3700,0
353,우체국,취급국,27230,4235110,대구광역시 북구 노원로25길 23,대구제3공단우편취급국,1096839.066,1767423.336,053-357-3002,0
355,우체국,취급국,27230,3145021,대구광역시 북구 대학로 80,경북대학교우편취급국,1100567.553,1766401.91,053-955-5281,0
357,우체국,취급국,27230,3145004,대구광역시 북구 검단로 117,대구유성아파트우편취급국,1101076.837,1768447.437,053-383-1510,0
359,우체국,취급국,27230,4235490,대구광역시 북구 호국로51길 45-6,대구무태우편취급국,1098677.415,1770389.337,053-951-1088,0
361,우체국,취급국,27230,4235348,대구광역시 북구 칠곡중앙대로52길 71,대구칠곡1동우편취급국,1094743.293,1770283.555,053-314-3700,0
363,우체국,취급국,27260,3146012,대구광역시 수성구 범어로 76,대구대동우편취급국,1102547.385,1762766.283,053-752-0444,0
