,유형,상세분류,시군구코드,도로명코드,도로명주소,기관명,위치X,위치Y,전화번호,가점척도
749,보건소,보건소,27200,4232252,대구광역시 남구 영선길 34,보건소,1098560.246,1762479.736,053-664-3601,1
751,보건소,보건소,27290,3147045,대구광역시 달서구 학산로 45,보건소,1093288.093,1759761.08,053-667-5605,1
753,보건소,보건소,27710,4244269,대구광역시 달성군 현풍읍 비슬로130길 17,보건소,1085075.492,1744692.385,053-668-3101,1
755,보건소,보건소,27140,3142010,대구광역시 동구 동촌로 79,보건소,1103906.191,1766336.975,053-662-3201,1
757,보건소,보건소,27230,3145032,대구광역시 북구 성북로 49,보건소,1098275.317,1766688.822,053-665-3211,1
759,보건소,보건소,27170,3007001,대구광역시 서구 국채보상로 257,보건소,1095625.723,1764491.424,053-663-3111,1
761,보건소,보건소,27260,3146017,대구광역시 수성구 수성로 213,보건소,1100414.169,1761508.002,053-666-3111,1
763,보건소,보건소,27110,3141011,대구광역시 중구 태평로 45,보건소,1097793.137,1765132.77,053-661-3121,1
765,보건소,보건지소,27290,3147001,대구광역시 달서구 계대동문로 79,성서보건지소,1090394.889,1762600.171,053-667-5711,1
767,보건소,보건지소,27230,3145020,대구광역시 북구 대천로 81,강북보건지소,1095448.422,1771699.565,053-665-4200,1
769,보건소,센터,27260,3146021,대구광역시 수성구 욱수천로 99,고산건강생활지원센터,1109535.807,1760732.138,053-666-3160,1
612,자치단체,운전면허시험장,27230,3145044,대구광역시 북구 태암남로 38,대구운전면허시험장,1094924.428,1770272.005,053-320-2400~1,1
676,자치단체,시도,27110,3007017,대구광역시 중구 공평로 88,대구광역시청,1099416.493,1764446.176,053-120,1
677,자치단체,시군구,27710,3148026,대구광역시 달성군 논공읍 달성군청로 33,달성군청,1084183.285,1753540.792,053-668-2000,1
678,자치단체,시군구,27200,3141015,대구광역시 남구 이천로 51,남구청,1099117.932,1761603.258,053-664-2000,1
