학원명,학원주소,Latitude,Longitude,가점척도,,,,,,,,,,,,,,,
대구고시학원,"대구광역시 중구 중앙대로 425 , 6층 (포정동)",35.8722127,128.594436,2,,,,,,,,,,,,,,,
이화무용학원,대구광역시 중구 남산로 29   3층 (남산동),35.8591087,128.5824213,2,,,,,,,,,,,,,,,
라이크테스트프랩(LIKE TEST PREP)어학원,"대구광역시 수성구 달구벌대로 2488 , 4층 (범어동)",35.8585491,128.6414973,2,,,,,,,,,,,,,,,
현대정보통신전기고시학원,대구광역시 중구 중앙대로 462   2층 3층 (북성로1가),35.8742592,128.595953,2,,,,,,,,,,,,,,,
학정서예학원,대구광역시 중구 봉산문화길 94   2층 (봉산동),35.8641567,128.5967898,2,,,,,,,,,,,,,,,
예사랑음악학원,"대구광역시 수성구 동대구로48길 33 , 13동 2층1호 (범어동,우방범어타운)",35.8507752,128.6278573,2,,,,,,,,,,,,,,,
한국경찰학원,대구광역시 중구 중앙대로 390   센트럴엠 6층 (동성로3가),35.867639,128.593869,2,,,,,,,,,,,,,,,
신천국제입시학원,"대구광역시 동구 송라로 84 (신천동, 대성빌딩)",35.8751025,128.623748,2,,,,,,,,,,,,,,,
한국컴퓨터속기학원,"대구광역시 중구 중앙대로 390 , 7층 703호 (동성로3가)",35.8686027,128.5934455,2,,,,,,,,,,,,,,,
효목학원,"대구광역시 동구 효동로 78-1 , 2층 (효목동,효동빌딩)",35.8839907,128.6450513,2,,,,,,,,,,,,,,,
우방음악학원,대구광역시 수성구 청호로 330 (),35.8461633,128.6404743,2,,,,,,,,,,,,,,,
OLLO창작로봇IT영재학원,대구광역시 수성구 명덕로 455  롯데캐슬상가 309호 310호 (수성동3가),35.8571602,128.6263038,2,,,,,,,,,,,,,,,
중앙컴퓨터학원,"대구광역시 수성구 달구벌대로 2467 , 3층 일부 (범어동)",35.8588249,128.630883,2,,,,,,,,,,,,,,,
청아입시학원,"대구광역시 수성구 수성로 85 , 3층 일부, 4층 (상동)",35.8332631,128.6111488,2,,,,,,,,,,,,,,,
