사업장명,소재지전체주소,Latitude,Longitude,가점척도
하하,대구광역시 중구 삼덕동1가 8-1번지,35.8675778,128.5959439,3
피아노,대구광역시 중구 삼덕동1가 17-5번지,35.8674831,128.5968701,3
범용,대구광역시 중구 동성로1가 5-1번지,35.8736306,128.5956725,3
콘서트,대구광역시 중구 삼덕동1가 7-1번지,35.867571,128.5964067,3
달구벌,대구광역시 중구 대신동 1-36번지,35.8731084,128.5800875,3
신바람,대구광역시 중구 동인동3가 271-190번지,35.8716015,128.6084963,3
리치,대구광역시 중구 삼덕동1가 15-4번지,35.8671664,128.5965665,3
신바람,대구광역시 중구 동인동4가 191번지,35.86822,128.6064872,3
짱노래연습장,대구광역시 중구 남산동 661-1번지,35.8628658,128.5928393,3
쌈바,대구광역시 중구 남산동 613-17번지,35.861783,128.590526,3
별빛,대구광역시 중구 대봉동 20-45번지,35.8624917,128.6038836,3
센트로노래연습장,대구광역시 중구 대봉동 22-31번지,35.8617187,128.6036474,3
아리랑,대구광역시 중구 남산동 2269-10번지,35.85835,128.5788152,3
도심,대구광역시 중구 동성로2가 34번지,35.871263,128.5954533,3
창 노래연습장 2,"대구광역시 중구 봉산동 152-10번지 지상2,3층 ",35.8652389,128.5968554,3
짱노래연습장,대구광역시 중구 동인동4가 249-10번지 지하1층,35.8673994,128.6063935,3
창노래연습장 동성로점,대구광역시 중구 공평동 45-1번지,35.8684627,128.5958121,3
쇼노래연습장,대구광역시 중구 남산동 2267-13번지,35.8572789,128.581324,3
씽씽뮤직클럽노래연습장,대구광역시 중구 사일동 15-1번지 503호,35.871335,128.5947617,3
대봉노래연습장,대구광역시 중구 대봉동 55-95번지,35.8596044,128.6012609,3
락휴코인노래연습장 동성로2호점,"대구광역시 중구 공평동 55-23번지 지상2,3,4층 ",35.8685934,128.5976125,3
멜론동전노래연습장,대구광역시 중구 동성로2가 96번지 지상2층,35.8697302,128.5952115,3
아싸통통노래연습장,대구광역시 중구 공평동 62-3번지 지상3층,35.8681837,128.5981506,3
더엠노래연습장,대구광역시 중구 대봉동 138-1번지 지상2층,35.862647,128.603825,3
OK노래연습장,대구광역시 중구 동인동2가 208번지,35.8700256,128.6062574,3
한빈노래연습장,대구광역시 중구 인교동 251-253번지,35.8715924,128.5854805,3
주주,대구광역시 중구 삼덕동1가 32-8번지,35.8659137,128.5978227,3
골든,대구광역시 중구 대봉동 131-5번지,35.8572666,128.6017636,3
캐슬,대구광역시 중구 사일동 65-2번지,35.8695463,128.594858,3
소리새,대구광역시 중구 남산동 609-4번지,35.8610937,128.5897325,3
더엠캐슬노래연습장,대구광역시 중구 대봉동 179-5번지,35.8556483,128.6025596,3
더엠스카이 노래연습장,"대구광역시 중구 대봉동 44-59번지 지상 2층, 3층(201호, 301호) ",35.858801,128.6016822,3
창노래연습장로데오점,대구광역시 중구 삼덕동1가 18-22번지,35.8678059,128.5977561,3
아이팅노래연습장,대구광역시 중구 동성로2가 130-1번지 지상3층,35.8682438,128.5945072,3
스타노래연습장,대구광역시 중구 삼덕동3가 132-11번지 지하1층,35.8662239,128.6090908,3
비바체노래연습장,대구광역시 중구 남산동 2267-26번지 지상3층,35.8573537,128.5811286,3
쿠키동전노래연습장,대구광역시 중구 삼덕동1가 15-2번지 외 1필지,35.8671664,128.5965665,3
한성,대구광역시 중구 삼덕동2가 292-5번지,35.8636206,128.6039664,3
베스트,대구광역시 중구 삼덕동1가 22-9번지,35.8673622,128.5987029,3
도레미노래연습장,대구광역시 중구 종로1가 64-3번지 지상2층,35.8699892,128.5914949,3
아싸통통노래연습장,대구광역시 중구 공평동 56-1번지 지상3층,35.8680593,128.5977137,3
타운노래연습장,대구광역시 중구 장관동 16-2번지 지상3층,35.8695322,128.5913099,3
코인싱어 동성로점,"대구광역시 중구 남일동 65-3번지 지상 2층, 3층 ",35.8697636,128.5944809,3
락휴 코인노래연습장 동성로점,대구광역시 중구 삼덕동1가 17-23번지 지상3층,35.8673255,128.5973882,3
더존사이다 동전노래연습장,대구광역시 중구 덕산동 124-22번지 지상2층,35.8665015,128.5947112,3
뮤 동전노래연습장,대구광역시 중구 삼덕동1가 17-6번지 지하1층~지상1층,35.8673832,128.5966567,3
아이존팝 동성로2호점,대구광역시 중구 동성로2가 127-2번지 지상5층,35.8683756,128.5946388,3
뱅노래연습장,대구광역시 중구 삼덕동2가 140-7번지 지상2층,35.8664978,128.6001647,3
첼로,대구광역시 중구 공평동 59-1번지,35.8683593,128.5986616,3
미소노래연습장,대구광역시 중구 삼덕동3가 133-2번지,35.8661245,128.6095031,3
코리아,대구광역시 중구 삼덕동1가 35-2번지,35.8655032,128.59771,3
엠(M),대구광역시 중구 삼덕동1가 23-6번지,35.8674742,128.5979386,3
쟁반,대구광역시 중구 삼덕동1가 28-26번지,35.8670564,128.5978435,3
룰루랄라,대구광역시 중구 삼덕동1가 18-1번지,35.8678553,128.5975937,3
015비(B),대구광역시 중구 삼덕동1가 17-14번지,35.8673353,128.5975909,3
킹카,대구광역시 중구 삼덕동1가 17-8번지,35.8674433,128.5970846,3
금탑,대구광역시 중구 남산동 735-25번지,35.8601326,128.594926,3
열창,대구광역시 중구 봉산동 135-17번지,35.8627175,128.5978397,3
원노래연습장,대구광역시 중구 봉산동 23-23번지,35.8663171,128.5973419,3
타타타,대구광역시 중구 대봉동 55-94번지,35.8598201,128.6012105,3
목터져라,대구광역시 중구 삼덕동1가 9-5번지,35.8671999,128.5954517,3
짱2 노래연습장,대구광역시 중구 동성로2가 160-1번지,35.8689862,128.5956533,3
금아,대구광역시 중구 동인동1가 334-1번지,35.8715051,128.6054425,3
빅타운,대구광역시 중구 동인동2가 248번지,35.867047,128.6060199,3
카니발,대구광역시 중구 동인동2가 239번지,35.8677212,128.6061955,3
태광,대구광역시 중구 동인동4가 4번지,35.8698902,128.6070149,3
별밤 노래연습장,대구광역시 중구 남산동 2117-13번지,35.8569815,128.5876095,3
