사업장명,소재지전체주소,Latitude,Longitude
롯데시네마 동성로 제3관,대구광역시 중구 동성로2가 66-1번지,35.8701932,128.5969103
CGV대구12관,대구광역시 중구 사일동 15-1번지,35.871335,128.5947617
동성아트홀,대구광역시 중구 동성로1가 22-1번지,35.8729414,128.5956032
CGV대구아카데미제1관,대구광역시 중구 남일동 65-1번지,35.8699789,128.5943108
CGV대구현대 제6관,대구광역시 중구 계산동2가 200번지,35.8662831,128.5907443
롯데시네마 프리미엄 만경관 7관,대구광역시 중구 종로1가 29-4번지,35.8709183,128.5904288
CGV대구아카데미제3관,대구광역시 중구 남일동 65-1번지 아카데미극장,35.869964,128.594279
CGV대구한일 2관,대구광역시 중구 동성로2가 88-22번지,35.8704973,128.5953778
독립영화전용관 오오극장,대구광역시 중구 수동 1-6번지,35.8706599,128.5894435
그레이스실버영화관,대구광역시 중구 포정동 5번지,35.8723675,128.5950097
씨네팔공 (CINE 80),대구광역시 동구 용수동 50-1번지,35.9878971,128.6943218
롯데시네마 율하관(제1관),대구광역시 동구 율하동 1117번지,35.86846,128.6934002
메가박스중앙 (주)대구 신세계지점 2관,대구광역시 동구 신천동 1506번지,35.8692707,128.6230799
CGV 이시아폴리스 7관,대구광역시 동구 봉무동 1545번지 이시아폴리스라이프스타일센터,35.9215394,128.6373616
CGV 이시아폴리스 1관,대구광역시 동구 봉무동 1545번지 이시아폴리스라이프스타일센터,35.9215394,128.6373616
메가박스 이시아 제5관,대구광역시 동구 봉무동 1548번지,35.9207316,128.6357086
메가박스 이시아 제1관,대구광역시 동구 봉무동 1548번지,35.9207316,128.6357086
롯데시네마광장관 3관,대구광역시 서구 내당동 463-62번지 M플라자,35.8556496,128.5506449
메가박스중앙(주) 대구지점 COMFORT 3관,대구광역시 북구 칠성동2가 20번지,35.8850172,128.5897792
CGV대구칠곡 4관,대구광역시 북구 동천동 894-1번지,35.9441065,128.5603456
메가박스 북대구지점 제6관,대구광역시 북구 동천동 895-2번지 지상10층,35.9440704,128.5617198
메가박스 북대구지점 제4관,대구광역시 북구 동천동 895-2번지 지상8층,35.9440704,128.5617198
메가박스 북대구지점 제2관,대구광역시 북구 동천동 895-2번지 6층,35.9440704,128.5617198
롯데시네마 프리미엄 칠곡 6관,대구광역시 북구 구암동 769-1번지 태을빌딩 8층,35.9421792,128.5638788
롯데시네마 프리미엄 칠곡 3관,대구광역시 북구 구암동 769-1번지 태을빌딩 6층,35.9421792,128.5638788
CGV 대구수성 제2관,대구광역시 수성구 범물동 1273번지 동아백화점 수성점 9층,35.8211288,128.6403503
CGV대구스타디움제1관,대구광역시 수성구 대흥동 504번지 B2F,35.8298301,128.690203
시네마 M,대구광역시 수성구 범어동 1번지,35.8588249,128.630883
롯데시네마 상인 제5관,대구광역시 달서구 상인동 241번지,35.8165747,128.5392668
롯데시네마 성서9 (제9관),대구광역시 달서구 이곡동 1244-1번지,35.8544663,128.5078312
CGV 대구월성 1관,대구광역시 달서구 월성동 1846번지,35.8220891,128.5309507
씨네밸리,대구광역시 달성군 가창면 냉천리 27-9번지,35.7882801,128.6352517
