사업장명,소재지전체주소,Latitude,Longitude
시피 스마일토이,대구광역시 중구 삼덕동1가 59-1번지 지상1층,35.8669431,128.5994317
아이존팝 대구동성로점,대구광역시 중구 삼덕동1가 17-16번지 지하1층,35.8673587,128.5972379
(주)대구짱오락실,대구광역시 중구 동성로2가 82-5번지 지상 1~3층,35.8700536,128.5954298
히트게임존,대구광역시 중구 삼덕동1가 5-2번지 지상3층,35.867785,128.5961986
메트로게임랜드,대구광역시 중구 덕산동 88번지 메트로센터 s-205,35.8655197,128.59339
짱구게임장,대구광역시 중구 동성로2가 70-1번지 지상1층,35.8694916,128.5968896
못된강아지,대구광역시 중구 동성로3가 68-1번지 지상 1층,35.8668468,128.5941391
로얄게임장,"대구광역시 중구 화전동 2-29번지 지상1,2층 ",35.8735075,128.5948787
와우인형뽁기,대구광역시 중구 대봉동 138-1번지 지상1층,35.862647,128.603825
몬스터 게임존,대구광역시 중구 동성로2가 150-3번지 지상1층,35.8689055,128.5953958
푸쉬푸쉬 뽑아방,대구광역시 중구 대봉동 94-14번지 지상1층,35.8588946,128.6011736
10달러 뽑아방,대구광역시 중구 동성로2가 39-10번지 지상1층,35.871453,128.5958622
(주)바리오엔터테인먼트,대구광역시 중구 공평동 55-54번지,35.8685735,128.5972614
에덴청소년게임장,대구광역시 중구 달성동 226-5번지,35.8746986,128.5818876
뽑스타,대구광역시 중구 동성로3가 91-3번지 지상1층,35.8672222,128.5944444
토이랜드,대구광역시 중구 동성로2가 88-22번지 지상7층,35.8704973,128.5953778
조이월드,대구광역시 중구 삼덕동1가 26-9번지 지상1층,35.8671848,128.5983051
토이팝,대구광역시 중구 삼덕동1가 14-1번지 지상1층,35.8663837,128.5986137
오엔디 스타디움,대구광역시 중구 삼덕동2가 45번지 분홍빛으로병원 지상1층,35.8672161,128.6034145
(주)바리오엔터테인먼트,대구광역시 중구 공평동 55-54번지,35.8685735,128.5972614
뽑신 중앙로점,"대구광역시 중구 사일동 15-1번지 지상5층 522,523,524호 ",35.871335,128.5947617
놀이존,대구광역시 중구 삼덕동1가 0033-0009번지 지상2층,35.8662402,128.5975949
아이존팝 동성로2호점,대구광역시 중구 동성로2가 127-2번지 지상3~5층,35.8683756,128.5946388
모찌게임장,대구광역시 중구 공평동 63번지 지상1층,35.8679795,128.5983609
놀자 사일점,"대구광역시 중구 사일동 15-1번지 동성로파티 536호, 537호, 538호 ",35.8713802,128.5943342
보물섬게임랜드,대구광역시 중구 남산동 2267-26번지 지상 2층,35.8573537,128.5811286
행운상자,대구광역시 중구 사일동 69번지 지상1층,35.869254,128.5947218
놀자 동성로점,"대구광역시 중구 동성로2가 41-1번지 ,40-6번지, 40-7번지(지상1층) ",35.8709805,128.5960813
뽑다방24시,대구광역시 중구 남일동 65-1번지 지상1층,35.8699789,128.5943108
뽑고뽑고,대구광역시 중구 삼덕동1가 58-3번지 지상1층,35.8667587,128.5989951
뱅게임랜드,대구광역시 중구 삼덕동2가 140-7번지 지상1~2층,35.8664978,128.6001647
샵아지트,대구광역시 중구 동성로2가 68-8번지 지상1층,35.8699175,128.5970699
오빠네 놀이터,대구광역시 중구 공평동 46-10번지 지상2층,35.868317,128.5961045
모두의 뽑기방,대구광역시 중구 수창동 95-13번지 지상1층,35.8743859,128.5872496
요요파크,대구광역시 중구 동성로3가 106-3번지 지상1층,35.8679228,128.5948935
토이아지트,대구광역시 동구 신서동 534-6번지,35.8671585,128.7250181
뽑기 짱,대구광역시 동구 효목동 356-1번지,35.8776047,128.6393019
뽑고뽑고게임장,대구광역시 동구 불로동 267-17번지,35.9128496,128.6404673
아양게임랜드,대구광역시 동구 입석동 972-4번지,35.8940971,128.6441577
온가족놀이터,대구광역시 동구 각산동 1080-1번지,35.885859,128.7172742
파티마 게임랜드,대구광역시 동구 신암동 219-1번지,35.8828996,128.6235732
뽑고뽑고 인형방,대구광역시 동구 지저동 764-4번지,35.8945632,128.6373669
뽑기 오빠,대구광역시 동구 신암동 1192-12번지,35.8790076,128.6109772
온가족놀이터인형뽑기,대구광역시 동구 사복동 841-1번지 102호,35.8701034,128.7543541
일렉트로게임(클래스어뮤즈먼트주식회사),대구광역시 동구 신천동 1506번지 신세계동대구복합환승센터,35.8779834,128.6297132
뽑기가즈아,대구광역시 동구 율하동 1155번지,35.866913,128.6923669
아양뽑기역,대구광역시 동구 지저동 932번지,35.899664,128.6415948
게임스포츠텍,대구광역시 동구 신서동 517-2번지,35.8710308,128.7288372
온가족이 즐기는 뽑기,대구광역시 동구 율하동 921번지,35.8700535,128.6991557
스타오락실,대구광역시 동구 신기동 265-4번지 2층,35.8697015,128.7048034
후키랜드,대구광역시 동구 봉무동 1545번지 1층,35.9215394,128.6373616
씽씽쏭쏭,대구광역시 동구 신기동 204-3번지,35.8701174,128.7024274
또뽑꼬,대구광역시 동구 율하동 1013-4번지,35.8677748,128.6960906
뽑기오빠,대구광역시 동구 신기동 204-3번지,35.8701174,128.7024274
