,유형,상세분류,시군구코드,도로명코드,도로명주소,기관명,위치X,위치Y,전화번호
13,학교,중학교,27110,2007002,대구광역시 중구 달구벌대로 2178,경북대학교사범대학부설중학교,1099367.458,1763446.0239999997,053-232-8255
15,학교,중학교,27200,4232356,대구광역시 남구 현충로48길 33,경상중학교,1098005.411,1762330.839,053-234-6100
17,학교,중학교,27200,3144011,대구광역시 남구 효성로 37,경일여자중학교,1099059.2,1760544.1729999997,053-234-9194
19,학교,중학교,27200,4232189,대구광역시 남구 성당로18길 20,경혜여자중학교,1096096.3960000002,1761262.784,053-234-8420
20,학교,중학교,27290,4241097,대구광역시 달서구 당산로30길 20,경암중학교,1094690.739,1761825.92,053-234-9100
21,학교,중학교,27290,4241149,대구광역시 달서구 두류남길 10,구남중학교,1096847.748,1762927.0000000002,053-234-8816
22,학교,중학교,27290,4241471,대구광역시 달서구 월곡로94길 46,대건중학교,1092856.875,1760203.8849999998,053-234-8808
23,학교,중학교,27290,3147005,대구광역시 달서구 도원남로 5,대곡중학교,1093289.115,1757145.083,053-234-6805
24,학교,중학교,27200,3141012,대구광역시 남구 대봉로 120,대구중학교,1099661.816,1762067.2279999997,053-234-6002
25,학교,중학교,27200,3007012,대구광역시 남구 앞산순환로 477,대명중학교,1097250.501,1760156.324,053-234-7386
26,학교,중학교,27290,3007013,대구광역시 달서구 월배로 303,대서중학교,1094263.274,1759071.6830000004,053-234-6281
27,학교,중학교,27290,4241166,대구광역시 달서구 미리샘길 32,도원중학교,1094414.994,1757141.622,053-234-7070
28,학교,중학교,27290,3147026,대구광역시 달서구 야외음악당로 107,상서중학교,1094807.107,1761609.874,053-234-9000
29,학교,중학교,27290,3147009,대구광역시 달서구 상인로 117,상원중학교,1094327.496,1758319.0550000004,053-234-7734
30,학교,중학교,27290,3147009,대구광역시 달서구 상인로 34,상인중학교,1094871.57,1757719.051,053-234-6900
31,학교,중학교,27290,3147004,대구광역시 달서구 대명천로 102,성당중학교,1094665.514,1760956.43,053-234-6450
32,학교,중학교,27290,3147014,대구광역시 달서구 선원남로 174,성산중학교,1091976.0,1762723.1920000003,053-234-6950
33,학교,중학교,27290,3147028,대구광역시 달서구 용산서로 63,성서중학교,1092695.16,1762627.098,053-234-6158
